addr,OutCnt,OutAmount,OutValue,OutTransFee,InCnt,InAmount,InValue,InTransFee,label
0x0000000000000000000000000000000000000000,2650186.0,7217724.0,712324959.5924134,21609773.15612327,595830.0,2410795.0,20296148.73451125,4879685.167745083,0
0x4b3406a41399c7fd2ba65cbc93697ad9e7ea61e5,20407.0,22644.0,0.0,130683.555,20407.0,22644.0,0.0,130683.555,0
0x000000000000000000000000000000000000dead,6.0,12.0,0.0,28.42,39553.0,47223.0,103678.27410132436,182144.84762433692,0
0xeca9d81a4dc7119a40481cff4e7e24dd0aaf56bd,1090.0,1090.0,0.0,1274.59,35295.0,36508.0,0.0,20189.45,0
0x381e840f4ebe33d0153e9a312105554594a98c42,34524.0,36592.0,0.0,208317.63,442.0,2494.0,0.0,2374.28,0
0xe689cb9657b0f1b4907cc83abc8d1fc619b7cdda,17179.0,258688.0,0.0,9556.195,17197.0,258991.0,0.0,9564.025,0
0xa21342f796996954284b8dc6aae7ecbf8f83a9e4,31544.0,32474.0,0.0,266864.4,43.0,284.0,0.0,319.87,0
0x3effcabdde27072a47f14ab98b8213863c5da207,27658.0,27658.0,2409.08,262796.9489565112,15.0,15.0,526.295,140.64874183632736,0
0xe39d9712f3749b9663627331d9bca15ac69b6170,24118.0,24118.0,0.0,138816.79,14.0,126.0,0.0,166.535,0
0x64b22a918fdefaa5605dd7c355188d7a40ea9202,23479.0,23488.0,0.0,51524.28,88.0,458.0,0.0,56.96,0
0x728e33fff8348bf804247f136d8fe7b0988312be,19999.0,19999.0,227427.65,1079566.72,3.0,13.0,0.0,11.75,0
0x8f6077dd5f1035ea5f942aeaf740aa08fb87f22a,19033.0,23087.0,179099.02,138140.31,6.0,52.0,0.0,27.180000000000007,0
0x8266155840fc1ddc5b2708e6ab95748b566c5ad8,0.0,0.0,0.0,0.0,18060.0,18060.0,35292.235,17271.145,0
0x8cac485c30641ece09dbeb2b5245e24de4830f27,9012.0,9012.0,7393624.885,39246.25,9012.0,9012.0,7393624.885,39246.25,0
